compound_id,SMILES,binding_mode_class,pic50,pic50_date,DATESOLVED,docking_folder,aminohetaryl_c1_amide_split,aryl_c1_amide_c2_hetaryl_split,temporal_2012_split,c1_hetaryl_alkyl_c2_hetaryl_split,temporal_2013_split,temporal_2011_split,random_split
273,CNC(=O)c1cc(Cl)c(C)n2nc(CCc3nc(N4CCCC4)nn3C)nc12,c1_hetaryl_alkyl_c2_hetaryl,5.2102853540230691,25-Feb-2013,01-Feb-12,5sej_273,val,val,,test,test,,test
274,Cc1cnc(C)n2nc(/C=C/c3nc(N4CCCC4)nn3C3CC3)nc12,c1_hetaryl_alkyl_c2_hetaryl,7.732828271596986,06-May-2013,01-Feb-12,5sei_274,val,val,,test,test,,train
275,O=C(NCCc1noc(Cc2ccccc2)n1)c1nc(C2CC2)cnc1Nc1cncnc1,aminohetaryl_c1_amide,6.8615646648664064,14-Jun-2010,27-Apr-10,5sfl_275,test,train,train,train,train,train,test
276,CN(CCO)C(=O)c1cnn(C)c1C(=O)Nc1ccn2nc(N3CCOCC3)nc2c1,aryl_c1_amide_c2_hetaryl,7.6894766160484789,04-Apr-2011,21-Sep-10,5seh_276,train,test,train,val,train,test,val
277,Cc1c(Cl)cc(C(F)(F)F)c2nc(CCc3nc(N4CCCC4)n[nH]3)nn12,c1_hetaryl_alkyl_c2_hetaryl,9.140861702705469,25-Feb-2013,01-Feb-12,5sej_277,val,val,,test,test,,train
278,COc1ccccc1-c1cn2c(n1)C[C@H](NC(=O)c1c(C(=O)N(C)C3CC3)cnn1C)CC2,aryl_c1_amide_c2_hetaryl,7.8735114292996249,01-Sep-2010,04-Feb-10,5ses_278,train,test,train,train,train,train,test
279,CN(CC(F)(F)F)C(=O)c1cnn(C)c1C(=O)Nc1ccn2nc(N3CCOCC3)nc2c1,aryl_c1_amide_c2_hetaryl,7.0943606017327763,08-Aug-2011,21-Sep-10,5seh_279,train,test,val,val,train,test,train
280,CCOC(=O)c1cnn(C)c1C(=O)Nc1ccn2nc(-c3ccnc(F)c3)nc2c1,aryl_c1_amide_c2_hetaryl,6.10214043098652902,02-May-2011,04-Feb-10,5se7_280,train,test,train,val,train,test,val
281,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3cccnc3)nc2c1,aryl_c1_amide_c2_hetaryl,8.9365953788850963,08-Nov-2010,04-Feb-10,5se7_281,train,test,train,train,train,val,train
282,Cn1cc(-c2ccccc2)nc1COc1ccc2nc3c(n2n1)CCC3,c1_hetaryl_alkyl_c2_hetaryl,7.3279298638734072,30-Jan-2012,11-Jul-11,5se9_282,train,train,test,test,train,,test
283,CN(C(=O)c1cnn(C)c1C(=O)Nc1ccn2nc(N3CCOCC3)nc2c1)C1CCCC1,aryl_c1_amide_c2_hetaryl,7.2408384978505207,08-Nov-2010,21-Sep-10,5seh_283,train,test,train,train,train,val,test
284,O=C(Nc1cc(-c2ccccc2)nn1CCO)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,6.9148450484532005,11-Jan-2010,27-Jul-09,5se0_284,test,train,train,train,train,train,train
285,Cc1c(C#N)cc(Cl)c2nc(CCc3nc(N4CCCC4)nn3C)nn12,c1_hetaryl_alkyl_c2_hetaryl,8.6659169944536427,02-Jul-2012,01-Feb-12,5sej_285,train,val,test,test,val,,train
286,Cc1cc(NC(=O)c2ccc3cc(-c4ccccc4)nn3c2)cc(C)n1,aryl_c1_amide_c2_hetaryl,7.123741734941737,28-Sep-2009,28-Jul-09,5sfp_286,train,test,train,train,train,train,train
287,Cn1ncc(CO)c1C(=O)Nc1ccn2nc(-c3ccccc3)nc2c1,aryl_c1_amide_c2_hetaryl,7.2834900896994454,02-Aug-2010,04-Feb-10,5se7_287,train,test,train,train,train,train,test
288,CCc1nc2ccc(OCc3nc(-c4ccccc4)cn3C)nn2c1C,c1_hetaryl_alkyl_c2_hetaryl,6.5778864053031677,17-Oct-2011,11-Jul-11,5se9_288,train,train,val,test,train,test,train
289,Cn1cc(-c2ccccc2)nc1CCc1cncc(-c2ccn[nH]2)n1,c1_hetaryl_alkyl_c2_hetaryl,6.5126169607314832,04-Apr-2011,02-Feb-11,5sev_289,train,train,train,test,train,test,test
290,CNC(=O)c1c(-c2nc(CCc3nc4c(C)ncc(C)n4n3)n(C)n2)cnn1C,c1_hetaryl_alkyl_c2_hetaryl,6.47230953409185367,03-Dec-2012,01-OCT-12,5sfi_290,val,val,test,test,val,,train
291,Cc1nc2ccc(CCc3nc(-c4ncccn4)cn3C)nn2c1C,c1_hetaryl_alkyl_c2_hetaryl,8.037110012608209,12-Nov-2012,19-Jul-11,5sf5_291,val,val,test,test,val,,train
292,O=C1c2ccccc2C(=O)N1CCc1csc(-c2cccnc2)n1,aryl_c1_amide_c2_hetaryl,5.2282825441641975,04-Apr-2011,07-Oct-10,5seo_292,train,test,train,val,train,test,train
293,Cc1nc(C)n2nc(/C=C/c3nc(N4CCCC4)nn3C)nc2c1C,c1_hetaryl_alkyl_c2_hetaryl,8.038009712559935,26-Mar-2012,01-Feb-12,5sei_293,train,train,test,test,val,,test
294,Cc1ncc(C)n2nc(CCc3nc(N4CCC[C@@H]4C(F)(F)F)nn3C)nc12,c1_hetaryl_alkyl_c2_hetaryl,7.4658469258149374,17-Dec-2012,01-OCT-12,5sfi_294,val,val,test,test,val,,train
295,CCc1ccc(Nc2cncnc2)c(C(=O)Nc2cc(-c3ccccn3)nn2C)n1,aminohetaryl_c1_amide,8.702677285794697,11-Jan-2010,15-Jun-09,5sf4_295,test,train,train,train,train,train,val
296,Cn1cc(-c2cccc(CCc3nc(-c4ccccc4)cn3C)n2)cn1,c1_hetaryl_alkyl_c2_hetaryl,5.1868459105029519,20-Dec-2010,24-Sep-10,5se2_296,train,train,train,test,train,val,train
297,Cn1cc(-c2ccccc2)nc1COc1ncc(Cl)nc1C(=O)NCc1ccccc1,c1_hetaryl_alkyl_c2_hetaryl,6.869830329307472,27-Jun-2011,04-May-11,5sfa_297,train,train,val,test,train,test,val
298,Cn1cc(-c2ccccc2)nc1CCNC(=O)c1cccn2c(C(F)(F)F)nnc12,aryl_c1_amide_c2_hetaryl,7.0560753598045185,16-Apr-2012,16-May-11,5sfo_298,train,test,test,val,val,,test
299,O=C1c2ccccc2C(=O)N1CCc1cnc(-c2ccccc2)[nH]1,aryl_c1_amide_c2_hetaryl,6.29776769873228714,04-Apr-2011,07-Oct-10,5seo_299,train,test,train,val,train,test,train
300,Cc1cc(Cl)c(C)n2nc(/C=C/c3nc(N4CCCC4)nn3C)nc12,c1_hetaryl_alkyl_c2_hetaryl,9.4801720062242807,05-Mar-2012,01-Feb-12,5sei_300,train,train,test,test,train,,train
301,Cc1nc2ccc(CCc3nc(-c4cncnc4)cn3C)nn2c1C,c1_hetaryl_alkyl_c2_hetaryl,7.0067225254326355,17-Dec-2012,19-Jul-11,5sf5_301,val,val,test,test,val,,train
302,Cn1ncc(C(=O)NC2COC2)c1C(=O)N[C@@H]1CCn2cc(-c3ccccc3)nc2C1,aryl_c1_amide_c2_hetaryl,6.7404371773854094,03-May-2010,04-Feb-10,5ses_302,train,test,train,train,train,train,train
303,COCCNC(=O)c1cc2[nH]c(-c3ccccc3)nc2cc1NC(=O)c1cc(Br)c[nH]c1=O,aryl_c1_amide_c2_hetaryl,8.1444808443322,16-Nov-2009,30-Sep-09,5sex_303,train,test,train,train,train,train,train
304,COCCN(C)C(=O)c1cnn(C)c1C(=O)Nc1cc2nc(-c3ccccc3)nn2cn1,aryl_c1_amide_c2_hetaryl,9.1010516460147612,26-Nov-2012,23-Nov-11,5sfm_304,val,test,test,val,val,,train
305,Cc1c(C(F)(F)F)nc2ccc(OCc3nc(-c4ccccc4)cn3C)nn12,c1_hetaryl_alkyl_c2_hetaryl,7.4677794533273254,24-Oct-2011,11-Jul-11,5se9_305,train,train,val,test,train,test,train
306,COCCNC(=O)c1cc2[nH]c(-c3ccccc3)nc2cc1NC(=O)c1ccnnc1,aryl_c1_amide_c2_hetaryl,7.4625713159764917,16-Nov-2009,30-Sep-09,5sex_306,train,test,train,train,train,train,train
307,O=C1c2ccccc2CN1c1ccc2nc(-c3ccccc3)[nH]c2c1,aryl_c1_amide_c2_hetaryl,6.4294722373409983,12-Oct-2009,10-Sep-08,5sdw_307,train,test,train,train,train,train,val
308,Cc1cc(Cl)c(C)n2nc(/C=C/c3nc(N4CCCC4)n(C)n3)nc12,c1_hetaryl_alkyl_c2_hetaryl,9.8356471442155624,12-Mar-2012,01-Feb-12,5sei_308,train,train,test,test,,,train
309,Cc1c(Cl)nn2c(C)c(/C=C/c3nc(N4CCCC4)nn3C)nc2c1C,c1_hetaryl_alkyl_c2_hetaryl,7.3175209793714187,28-Aug-2012,01-Feb-12,5sei_309,val,val,test,test,val,,val
310,O=C(Nc1ccnc(Cl)c1)c1ccc2cc(-c3ccccc3)nn2c1,aryl_c1_amide_c2_hetaryl,7.4347544742774945,26-Aug-2009,28-Jul-09,5sfp_310,train,test,train,train,train,train,train
311,Cc1ncc(C)n2nc(/C=C/c3nc(N4CCNCC4)nn3C)nc12,c1_hetaryl_alkyl_c2_hetaryl,5.81030956953951389,26-Nov-2012,15-NOV-12,5sfy_311,val,val,test,test,val,,train
312,Cn1cc(-c2ccccc2)nc1COc1cc(N2CCOCC2)nc(-c2cccnc2)n1,c1_hetaryl_alkyl_c2_hetaryl,6.5687472363926181,09-May-2011,04-Apr-11,5se6_312,train,train,train,test,train,test,test
313,COc1cc(Cl)c(C)n2nc(CCc3nc(N4CCCC4)nn3C)nc12,c1_hetaryl_alkyl_c2_hetaryl,9.35848514510307,23-Jul-2012,01-Feb-12,5sej_313,val,val,test,test,val,,val
314,COc1cc(OCc2nc(-c3ccccc3)cn2C)nn2c(C)c(C(F)(F)F)nc12,c1_hetaryl_alkyl_c2_hetaryl,7.9265749432540185,09-Jan-2012,11-Jul-11,5se9_314,train,train,test,test,train,,train
315,CCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2nc(N3CCOCC3)nc2c1,aryl_c1_amide_c2_hetaryl,8.246775699816703,08-Nov-2010,21-Sep-10,5seh_315,train,test,train,train,train,val,val
316,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccc2nc(-c3cccnc3)nn2c1,aryl_c1_amide_c2_hetaryl,7.3609719532130584,25-Jul-2011,04-Feb-10,5se7_316,train,test,val,val,train,test,train
317,CN(C)C(=O)c1cnn(C)c1C(=O)N[C@@H]1CCn2cc(-c3ccccc3OC(F)F)nc2C1,aryl_c1_amide_c2_hetaryl,7.7288556820509215,04-Oct-2010,04-Feb-10,5ses_317,train,test,train,train,train,train,train
318,Cc1c(Cl)cc(C#N)c2nc(CCc3nc(N4CCCC4)nn3C)nn12,c1_hetaryl_alkyl_c2_hetaryl,8.653647025549361,17-Jul-2012,01-Feb-12,5sej_318,val,val,test,test,val,,val
319,CN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(Br)c3)nc2n1,aryl_c1_amide_c2_hetaryl,7.396498374909862,23-May-2011,12-Apr-11,5sfe_319,train,test,train,val,train,test,train
320,Cn1nc(N2CCCC2)nc1CCc1nc2cc(C(F)(F)F)ccn2n1,c1_hetaryl_alkyl_c2_hetaryl,6.48019037556365557,25-Jun-2012,04-Jun-12,5seu_320,train,val,test,test,val,,train
321,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3ccncc3)nc2c1,aryl_c1_amide_c2_hetaryl,8.7389751660076023,22-Nov-2010,04-Feb-10,5se7_321,train,test,train,train,train,val,train
322,Cc1c(Cl)cc(S(C)(=O)=O)c2nc(CCc3nc(N4CCCC4)nn3C)nn12,c1_hetaryl_alkyl_c2_hetaryl,7.0608453083643292,02-Jul-2012,01-Feb-12,5sej_322,train,val,test,test,val,,train
323,COCCOc1ccc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)c(C(=O)NCC(C)(C)O)c1,aminohetaryl_c1_amide,9.130947195090977,21-Jun-2010,27-Apr-10,5sfl_323,test,train,train,train,train,train,train
324,Cc1ccc(C)c(C(=O)Nc2ccc3cc(-c4ccccc4)nn3c2)n1,aryl_c1_amide_c2_hetaryl,7.2762488783644608,21-Sep-2009,28-Jul-09,5sfp_324,train,test,train,train,train,train,train
325,COC(=O)c1cc(Cl)c(C)n2nc(CCc3nc(N4CCCC4)nn3C)nc12,c1_hetaryl_alkyl_c2_hetaryl,6.36362144327200885,25-Feb-2013,01-Feb-12,5sej_325,val,val,,test,test,,train
326,CN(C)c1nc(CCc2nccn2-c2ccccc2)nc2ccccc12,c1_hetaryl_alkyl_c2_hetaryl,6.23135893934521548,09-May-2011,12-Apr-11,5sec_326,train,train,train,test,train,test,train
327,O=C(Nc1ccn2nc(-c3ccccc3)nc2c1)c1cc(Cl)nc(Cl)c1,aryl_c1_amide_c2_hetaryl,7.4176638675941973,09-May-2011,09-Feb-11,5se3_327,train,test,train,val,train,test,train
328,Cc1cccc(CCc2nc(-c3ccccc3)cn2C)n1,c1_hetaryl_alkyl_c2_hetaryl,5.0327179233381436,28-Sep-2010,24-Sep-10,5se2_328,train,train,train,test,train,train,test
329,CCOC(=O)CCc1ccc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)c(C(=O)NC)c1,aminohetaryl_c1_amide,9.231361898752385,18-Oct-2010,27-Apr-10,5se5_329,test,train,train,train,train,train,val
330,COc1ccccc1-c1cn2c(n1)C[C@H](NC(=O)c1c(C(=O)N3CCC3)cnn1C)CC2,aryl_c1_amide_c2_hetaryl,8.4252744164059266,17-May-2010,04-Feb-10,5ses_330,train,test,train,train,train,train,train
331,CCc1cnc(C)cc1NC(=O)c1ccc2cc(-c3ccccc3)nn2c1,aryl_c1_amide_c2_hetaryl,7.074889112877815,28-Sep-2009,28-Jul-09,5sfp_331,train,test,train,train,train,train,test
332,COc1cccc(-c2noc(CCN3C(=O)c4ccccc4C3=O)n2)c1,aryl_c1_amide_c2_hetaryl,5.0,11-Apr-2011,07-Oct-10,5seo_332,train,test,train,val,train,test,test
333,CN(CCF)c1nc2cc(NC(=O)c3c(C(=O)N4CC(F)C4)cnn3C)ccn2n1,aryl_c1_amide_c2_hetaryl,8.2472603060646716,30-May-2011,21-Sep-10,5seh_333,train,test,val,val,train,test,test
334,Cc1nc2ccc(CCc3nc(-c4ccnnc4)cn3C)nn2c1C,c1_hetaryl_alkyl_c2_hetaryl,7.090663312761874,14-Jan-2013,19-Jul-11,5sf5_334,val,val,,test,test,,train
335,COC(=O)CN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2nc(N3CCOCC3)nc2c1,aryl_c1_amide_c2_hetaryl,7.2973454805187543,04-Apr-2011,21-Sep-10,5seh_335,train,test,train,val,train,test,val
336,Cc1ncc(Nc2cncnc2)c(C(=O)N[C@@H]2CCN(c3ccc(Cl)cn3)C2)n1,aminohetaryl_c1_amide,6.6152793026286308,11-Jan-2010,14-Oct-09,5sfg_336,test,train,train,train,train,train,train
337,Cn1ncc(C(=O)N2CC(F)C2)c1C(=O)Nc1ccn2nc(-c3cccnc3)nc2c1,aryl_c1_amide_c2_hetaryl,8.9353756960576165,08-Nov-2010,04-Feb-10,5se7_337,train,test,train,train,train,val,train
338,Cc1c(Cl)cc(Br)c2nc(CCc3nc(N4CCCC4)nn3C)nn12,c1_hetaryl_alkyl_c2_hetaryl,8.9939620450026827,09-Jul-2012,01-Feb-12,5sej_338,val,val,test,test,val,,val
339,Cc1cc(CNC(=O)c2cnn(C)c2C(=O)Nc2ccn3cc(-c4ccccc4)nc3n2)on1,aryl_c1_amide_c2_hetaryl,7.586800856334359,02-Aug-2010,03-May-10,5sfj_339,train,test,train,train,train,train,test
340,CN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2nc(N3CCOCC3)nc2c1,aryl_c1_amide_c2_hetaryl,8.146423456380358,08-Nov-2010,21-Sep-10,5seh_340,train,test,train,train,train,val,train
341,Cc1c(NC(=O)c2c(C(=O)N3CCC3)cnn2C)ccn2nc(-c3ccccc3)nc12,aryl_c1_amide_c2_hetaryl,7.788212237099108,14-Jun-2010,04-Feb-10,5se7_341,train,test,train,train,train,train,test
342,Cn1nc(N2CCCC2)nc1CCc1nc2c(C#N)cccn2n1,c1_hetaryl_alkyl_c2_hetaryl,6.3299444244336941,25-Jun-2012,04-Jun-12,5seu_342,train,val,test,test,val,,test
343,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(N3CCCC3)nc2c1,aryl_c1_amide_c2_hetaryl,8.5005878743277243,14-Dec-2010,21-Sep-10,5seh_343,train,test,train,train,train,val,train
344,Cc1c(C#N)nc2ccc(OCc3nc(-c4ccccc4)cn3C)nn12,c1_hetaryl_alkyl_c2_hetaryl,7.624537579552828,05-Dec-2011,11-Jul-11,5se9_344,train,train,val,test,train,test,test
345,Cc1c(Cl)cc(O)c2nc(CCc3nc(N4CCCC4)nn3C)nn12,c1_hetaryl_alkyl_c2_hetaryl,8.3744817710283623,13-Aug-2012,01-Feb-12,5sej_345,val,val,test,test,val,,train
346,Cn1ncc(C(=O)N2CCOCC2)c1C(=O)N[C@@H]1CCn2cc(-c3ccc(F)cc3)nc2C1,aryl_c1_amide_c2_hetaryl,5.3629207426018187,20-Mar-2014,04-Feb-10,5ses_346,val,test,,val,,,val
347,CN(CCF)c1nc2cc(NC(=O)c3c(C(=O)N4CCCC4)cnn3C)ccn2n1,aryl_c1_amide_c2_hetaryl,8.640354207325457,30-May-2011,21-Sep-10,5seh_347,train,test,val,val,train,test,test
348,COC1CN(C(=O)c2cnn(C)c2C(=O)Nc2ccn3nc(N4CCOCC4)nc3c2)C1,aryl_c1_amide_c2_hetaryl,6.8891814195932376,08-Nov-2010,21-Sep-10,5seh_348,train,test,train,train,train,val,train
349,COCCNC(=O)c1cc2[nH]c(-c3ccccc3)nc2cc1NC(=O)c1cc(C2CC2)cnc1OC,aryl_c1_amide_c2_hetaryl,9.1837587000082164,09-Nov-2009,30-Sep-09,5sex_349,train,test,train,train,train,train,train
350,Cc1cc(C)n2nc(/C=C/c3nc(N4CCCC4)nn3C3CC3)nc2n1,c1_hetaryl_alkyl_c2_hetaryl,7.684029654543082,01-Jul-2013,01-Feb-12,5sei_350,val,val,,test,test,,train
351,COc1ccccc1-c1cn2c(n1)C[C@H](NC(=O)c1c(C(=O)N(C)CCF)cnn1C)CC2,aryl_c1_amide_c2_hetaryl,6.7617430767396974,01-Sep-2010,04-Feb-10,5ses_351,train,test,train,train,train,train,test
352,CN(C)c1nc(OCc2cccc(N3CCCC3)n2)nc2ccc(Cl)cc12,c1_hetaryl_alkyl_c2_hetaryl,8.1129726592291735,21-Mar-2011,09-Feb-11,5sed_352,train,train,train,test,train,test,train
353,CCOC(=O)c1cnn(C)c1C(=O)Nc1ccn2nc(N3CCCC3)nc2c1,aryl_c1_amide_c2_hetaryl,7.6724163125188207,14-Dec-2010,21-Sep-10,5seh_353,train,test,train,train,train,val,train
354,O=C(Nc1cc2nc(-c3ccccc3)cn2cc1Br)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.9381706927053006,21-Sep-2009,02-Dec-08,5see_354,test,train,train,train,train,train,test
355,CN(CCF)c1nc2cc(NC(=O)c3c(C(=O)N4CCC4)cnn3C)ccn2n1,aryl_c1_amide_c2_hetaryl,8.2479515521805613,30-May-2011,21-Sep-10,5seh_355,train,test,val,val,train,test,train
356,COc1ccccc1-c1nc2cc(NC(=O)c3c(C(=O)O)cnn3C)ccn2n1,aryl_c1_amide_c2_hetaryl,8.011307297450183,18-Jul-2011,04-Feb-10,5se7_356,train,test,val,val,train,test,train
357,Cc1c(Cl)cc(Cl)c2nc(CCc3nc(N4CCCC4)nn3C)nn12,c1_hetaryl_alkyl_c2_hetaryl,9.261212080597097,21-May-2012,01-Feb-12,5sej_357,train,train,test,test,val,,train
358,CNC(=O)c1cc2[nH]c(-c3ccccc3)nc2cc1NC(=O)c1c(Cl)c(C)nn1C,aryl_c1_amide_c2_hetaryl,7.6625407387093436,28-Sep-2009,10-Sep-08,5sdw_358,train,test,train,train,train,train,val
359,Cc1cc(Cl)c(C)n2nc(CCc3nc(N4CCCC4)nn3C)nc12,c1_hetaryl_alkyl_c2_hetaryl,9.554395796726402,05-Mar-2012,01-Feb-12,5sej_359,train,train,test,test,train,,train
360,CN(c1cncnc1)c1ccc(C2CC2)nc1C(=O)Nc1cc(-c2ccccn2)nn1C,aminohetaryl_c1_amide,5.2519552362471861,07-Apr-2010,06-Mar-09,5set_360,test,train,train,train,train,train,test
361,Cn1cc(-c2ccccc2)nc1CCc1ncoc1-c1ccccc1,c1_hetaryl_alkyl_c2_hetaryl,5.9992727317290437899,28-Sep-2010,24-Sep-10,5sdu_361,train,train,train,test,train,train,train
362,COc1ccccc1-c1nc2n(c1Cl)CC[C@@H](NC(=O)c1c(C(=O)N3CCC3)cnn1C)C2,aryl_c1_amide_c2_hetaryl,6.7239970889497769,07-Jun-2010,04-Feb-10,5ses_362,train,test,train,train,train,train,train
363,Cn1cc(-c2ccccc2)nc1CCNC(=O)c1c(C(=O)N2CCC2)nc(C(F)(F)F)n1C,aryl_c1_amide_c2_hetaryl,7.244750368676017,21-Nov-2011,16-May-11,5sfo_363,train,test,val,val,train,test,train
364,Cc1c(Br)cn2nc(/C=C/c3nc(N4CCCC4)n(C)n3)nc2c1C,c1_hetaryl_alkyl_c2_hetaryl,7.1360053955961584,12-Mar-2012,01-Feb-12,5sei_364,train,train,test,test,train,,val
365,COc1cc(NC(=O)c2ccc3cc(-c4ccccc4)nn3c2)ccn1,aryl_c1_amide_c2_hetaryl,6.8408450407450192,21-Sep-2009,28-Jul-09,5sfp_365,train,test,train,train,train,train,test
366,Cn1cc(-c2ccccc2)nc1COc1nc2ccccc2c(=O)[nH]1,c1_hetaryl_alkyl_c2_hetaryl,7.0482594642087864,04-Apr-2011,09-Feb-11,5sed_366,train,train,train,test,train,test,val
367,O=C(Nc1ccncc1C(F)(F)F)c1ccc2cc(-c3ccccc3)nn2c1,aryl_c1_amide_c2_hetaryl,5.971594220883209507,10-Aug-2009,28-Jul-09,5sfp_367,train,test,train,train,train,train,train
368,CCN(CC)c1nc2ccc(NC(=O)c3c(C(=O)N4CCC4)cnn3C)cn2n1,aryl_c1_amide_c2_hetaryl,8.4835968515525964,27-Feb-2012,21-Sep-10,5seh_368,train,test,test,val,train,,train
369,CCn1nc(C)cc1C(=O)Nc1cc2nc(-c3ccccc3)[nH]c2cc1C(=O)NC,aryl_c1_amide_c2_hetaryl,7.6550382112103175,21-Sep-2009,10-Sep-08,5sdw_369,train,test,train,train,train,train,train
370,c1cc(CCc2nc(N3CCOCC3)c3ccccc3n2)nc(N2CCCC2)c1,c1_hetaryl_alkyl_c2_hetaryl,7.3370062028239476,04-Apr-2011,09-Feb-11,5sed_370,train,train,train,test,train,test,train
371,Cn1ncc(Br)c1C(=O)Nc1ccn2nc(-c3ccccc3)nc2c1,aryl_c1_amide_c2_hetaryl,7.4530133986858218,29-Nov-2010,04-Feb-10,5se7_371,train,test,train,train,train,val,val
372,Cn1ncc(C(=O)N2CC(F)C2)c1C(=O)Nc1ccn2nc(N3CCOCC3)nc2c1,aryl_c1_amide_c2_hetaryl,8.3022534485006014,01-Nov-2010,21-Sep-10,5seh_372,train,test,train,train,train,val,train
373,Cn1ncc(C(=O)NC2CC2)c1C(=O)Nc1ccn2nc(N3CCOCC3)nc2c1,aryl_c1_amide_c2_hetaryl,7.7183531421324854,27-Jun-2011,21-Sep-10,5seh_373,train,test,val,val,train,test,val
374,Cc1cc(Cl)c(C)n2nc(CCc3nc(N4CCCC4)n(C)n3)nc12,c1_hetaryl_alkyl_c2_hetaryl,9.326058001365912,19-Mar-2012,01-Feb-12,5sej_374,train,train,test,test,val,,test
375,Cc1ccc2nc(/C=C/c3nc(N4CCCC4)nn3C)nn2c1C,c1_hetaryl_alkyl_c2_hetaryl,8.0591847913491987,02-Apr-2012,01-Feb-12,5sei_375,train,train,test,test,val,,val
376,COC[C@H]1CCCN1c1n[nH]c(CCc2nc3c(C)ncc(C)n3n2)n1,c1_hetaryl_alkyl_c2_hetaryl,8.0757207139381184,06-May-2013,01-OCT-12,5sfi_376,val,val,,test,test,,train
377,Cn1ncc(C(=O)O)c1C(=O)Nc1ccc2cc(-c3ccccc3)nn2c1,aryl_c1_amide_c2_hetaryl,7.7201050199883616,26-Aug-2009,28-Jul-09,5sfp_377,train,test,train,train,train,train,train
378,COC(=O)c1cnn(C)c1C(=O)Nc1ccn2nc(-c3ccccc3)nc2c1,aryl_c1_amide_c2_hetaryl,7.8349635200054346,01-Mar-2010,04-Feb-10,5se7_378,train,test,train,train,train,train,train
379,COc1ccccc1-c1cn2c(n1)C[C@H](NC(=O)c1c(C(=O)N3CC(F)C3)cnn1C)CC2,aryl_c1_amide_c2_hetaryl,8.355266072552807,01-Sep-2010,04-Feb-10,5ses_379,train,test,train,train,train,train,train
380,Cn1ncc(C(=O)O)c1C(=O)Nc1ccn2nc(-c3cccc(F)c3)nc2c1,aryl_c1_amide_c2_hetaryl,7.6114086837994677,11-Apr-2011,04-Feb-10,5se7_380,train,test,train,val,train,test,train
381,O=C(O)c1cccnc1C(=O)Nc1ccn2nc(-c3ccccc3)nc2c1,aryl_c1_amide_c2_hetaryl,6.1927166921363633,22-Nov-2010,04-Feb-10,5se7_381,train,test,train,train,train,val,train
382,Cc1nc(C)n2nc(/C=C/c3nc(N4CCCC4)nn3C)nc2c1Cl,c1_hetaryl_alkyl_c2_hetaryl,7.614626127183768,19-Mar-2012,01-Feb-12,5sei_382,train,train,test,test,val,,val
383,O=C(NCCc1ccc(C(F)(F)F)cc1)c1nc(C2CC2)cnc1Nc1cncnc1,aminohetaryl_c1_amide,6.6004474133940652,17-May-2010,27-Apr-10,5sfl_383,test,train,train,train,train,train,test
384,Cc1cc(NC(=O)c2ccc3cc(-c4ccccc4)nn3c2)ccn1,aryl_c1_amide_c2_hetaryl,7.4526191678797624,21-Sep-2009,28-Jul-09,5sfp_384,train,test,train,train,train,train,val
385,O=C(Nc1ccn2nc(-c3ccccc3)nc2c1)c1cncc(Cl)c1,aryl_c1_amide_c2_hetaryl,7.148472594399748,30-May-2011,23-May-11,5sez_385,train,test,val,val,train,test,train
386,COCc1ccc(Nc2cncnc2)c(C(=O)Nc2ccnn2-c2ccccn2)n1,aminohetaryl_c1_amide,8.8341623753098713,21-Sep-2009,02-Dec-08,5see_386,test,train,train,train,train,train,train
387,Cc1ncc(C)n2nc(CCc3nc(N4CCCC4)n(CC4CC4)n3)nc12,c1_hetaryl_alkyl_c2_hetaryl,8.1743142919782414,14-Jan-2013,10-Feb-12,5sft_387,val,val,,test,test,,train
388,COC[C@H]1CCCN1c1nc(/C=C/c2nc3c(C)ncc(C)n3n2)n(C)n1,c1_hetaryl_alkyl_c2_hetaryl,8.25743151796349,04-Feb-2013,15-NOV-12,5sfy_388,val,val,,test,test,,train
389,Cc1c(C(F)(F)F)nc2ccc(C#Cc3nc(N4CCCC4)n(C)n3)nn12,c1_hetaryl_alkyl_c2_hetaryl,8.4069355683412823,21-Feb-2012,14-Dec-11,5sf1_389,train,train,test,test,train,,val
390,COCc1cc(C(=O)Nc2ccn3nc(-c4ccccc4)nc3c2)n(C)n1,aryl_c1_amide_c2_hetaryl,7.0621161710039586,07-Nov-2011,04-Feb-10,5se7_390,train,test,val,val,train,test,val
391,CNC(=O)c1cc2[nH]c(-c3ccccc3)nc2cc1NC(=O)c1cc(C)n(C)n1,aryl_c1_amide_c2_hetaryl,6.7052825289076622,28-Sep-2009,10-Sep-08,5sdw_391,train,test,train,train,train,train,train
